item,condition,Sentence_String,Is_Filler,Expected_Verb,Base_ID,Subject_Number,Local_Number,Local_Noun_Slot,Interference_Type,Subject_Liaison_Cue,Delayed_Repetition,Delay_ms,Go_Beep,Audio_Normalization_Note
T102,Filler_SVO,La chercheuse suit le dossier.,True,suit,FILLER,singular,NA,NA,NA,NA,True,2000,True,Use fillers to prevent structural habituation.
T104,Filler_SVO,Les voisins portent la photo.,True,portent,FILLER,plural,NA,NA,NA,NA,True,1000,True,Use fillers to prevent structural habituation.
T106,Filler_SVO,Les médecins portent la photo.,True,portent,FILLER,plural,NA,NA,NA,NA,True,1000,True,Use fillers to prevent structural habituation.
T107,Filler_SVO,Les musiciennes portent la photo.,True,portent,FILLER,plural,NA,NA,NA,NA,True,1000,True,Use fillers to prevent structural habituation.
T110,Filler_SVO,Les chercheuses portent la radio.,True,portent,FILLER,plural,NA,NA,NA,NA,True,1000,True,Use fillers to prevent structural habituation.
T115,Filler_SVO,Les musiciennes cherchent la photo.,True,cherchent,FILLER,plural,NA,NA,NA,NA,True,2000,True,Use fillers to prevent structural habituation.
T117,Filler_SVO,Les médecins portent le roman.,True,portent,FILLER,plural,NA,NA,NA,NA,True,1750,True,Use fillers to prevent structural habituation.
T118,Filler_SVO,La journaliste regarde le dossier.,True,regarde,FILLER,singular,NA,NA,NA,NA,True,1500,True,Use fillers to prevent structural habituation.
T119,Filler_Neg,Les chercheuses ne regardent pas les messages.,True,regardent,FILLER,plural,NA,NA,NA,NA,True,2000,True,Use fillers to prevent structural habituation.
T123,Filler_SVO,Les chercheuses regardent la radio.,True,regardent,FILLER,plural,NA,NA,NA,NA,True,1750,True,Use fillers to prevent structural habituation.
T124,Filler_SVO,Les pilotes regardent la radio.,True,regardent,FILLER,plural,NA,NA,NA,NA,True,1250,True,Use fillers to prevent structural habituation.
T125,Filler_Neg,Les médecins ne portent pas les lampes.,True,portent,FILLER,plural,NA,NA,NA,NA,True,2000,True,Use fillers to prevent structural habituation.
T126,Filler_SVO,Les voisins suivent le message.,True,suivent,FILLER,plural,NA,NA,NA,NA,True,1000,True,Use fillers to prevent structural habituation.
T128,Filler_SVO,Le voisin regarde le dossier.,True,regarde,FILLER,singular,NA,NA,NA,NA,True,1500,True,Use fillers to prevent structural habituation.
T129,Filler_SVO,Les journalistes portent le roman.,True,portent,FILLER,plural,NA,NA,NA,NA,True,1250,True,Use fillers to prevent structural habituation.
T130,Filler_SVO,Les voisins cherchent le message.,True,cherchent,FILLER,plural,NA,NA,NA,NA,True,1750,True,Use fillers to prevent structural habituation.
T132,Filler_Neg,La journaliste ne regarde pas les lampes.,True,regarde,FILLER,singular,NA,NA,NA,NA,True,2000,True,Use fillers to prevent structural habituation.
T134,Filler_Neg,Les musiciennes ne regardent pas les romans.,True,regardent,FILLER,plural,NA,NA,NA,NA,True,1250,True,Use fillers to prevent structural habituation.
T136,Filler_SVO,Les journalistes trouvent la radio.,True,trouvent,FILLER,plural,NA,NA,NA,NA,True,1000,True,Use fillers to prevent structural habituation.
T144,Filler_Neg,Les médecins ne portent pas les romans.,True,portent,FILLER,plural,NA,NA,NA,NA,True,1500,True,Use fillers to prevent structural habituation.
T145,Filler_Neg,Les médecins ne regardent pas les lampes.,True,regardent,FILLER,plural,NA,NA,NA,NA,True,1250,True,Use fillers to prevent structural habituation.
T146,Filler_Neg,La journaliste ne regarde pas les romans.,True,regarde,FILLER,singular,NA,NA,NA,NA,True,1500,True,Use fillers to prevent structural habituation.
T148,Filler_Neg,La chercheuse ne cherche pas les radios.,True,cherche,FILLER,singular,NA,NA,NA,NA,True,1250,True,Use fillers to prevent structural habituation.
T151,Filler_SVO,La chercheuse suit la radio.,True,suit,FILLER,singular,NA,NA,NA,NA,True,1000,True,Use fillers to prevent structural habituation.
T154,Filler_Neg,Les médecins ne portent pas les radios.,True,portent,FILLER,plural,NA,NA,NA,NA,True,1750,True,Use fillers to prevent structural habituation.
T155,Filler_SVO,Le pilote suit la radio.,True,suit,FILLER,singular,NA,NA,NA,NA,True,1000,True,Use fillers to prevent structural habituation.
T156,Filler_SVO,Les journalistes portent le message.,True,portent,FILLER,plural,NA,NA,NA,NA,True,1500,True,Use fillers to prevent structural habituation.
T157,Filler_SVO,La musicienne suit le message.,True,suit,FILLER,singular,NA,NA,NA,NA,True,2000,True,Use fillers to prevent structural habituation.
T158,Filler_Neg,La musicienne ne aime pas les lampes.,True,aime,FILLER,singular,NA,NA,NA,NA,True,1000,True,Use fillers to prevent structural habituation.
T161,Filler_Neg,Le médecin ne aime pas les lampes.,True,aime,FILLER,singular,NA,NA,NA,NA,True,1750,True,Use fillers to prevent structural habituation.
T162,Filler_Neg,La chercheuse ne trouve pas les messages.,True,trouve,FILLER,singular,NA,NA,NA,NA,True,1500,True,Use fillers to prevent structural habituation.
T163,Filler_Neg,Les journalistes ne portent pas les dossiers.,True,portent,FILLER,plural,NA,NA,NA,NA,True,2000,True,Use fillers to prevent structural habituation.
T166,Filler_Neg,Les journalistes ne cherchent pas les radios.,True,cherchent,FILLER,plural,NA,NA,NA,NA,True,1500,True,Use fillers to prevent structural habituation.
T167,Filler_SVO,La chercheuse aime le roman.,True,aime,FILLER,singular,NA,NA,NA,NA,True,1000,True,Use fillers to prevent structural habituation.
T168,Filler_SVO,Le médecin aime la lampe.,True,aime,FILLER,singular,NA,NA,NA,NA,True,1750,True,Use fillers to prevent structural habituation.
T169,Filler_SVO, Le voisin aime la lampe.,True,aime,FILLER,singular,NA,NA,NA,NA,True,1750,True,Use fillers to prevent structural habituation.
T173,Filler_SVO,Les musiciennes trouvent le dossier.,True,trouvent,FILLER,plural,NA,NA,NA,NA,True,1500,True,Use fillers to prevent structural habituation.
T174,Filler_Neg,Les médecins ne suivent pas les photos.,True,suivent,FILLER,plural,NA,NA,NA,NA,True,2000,True,Use fillers to prevent structural habituation.
T175,Filler_Neg,La chercheuse ne porte pas les dossiers.,True,porte,FILLER,singular,NA,NA,NA,NA,True,1000,True,Use fillers to prevent structural habituation.
T176,Filler_SVO,Les musiciennes suivent la lampe.,True,suivent,FILLER,plural,NA,NA,NA,NA,True,1500,True,Use fillers to prevent structural habituation.
T177,Filler_SVO,Les pilotes cherchent la radio.,True,cherchent,FILLER,plural,NA,NA,NA,NA,True,1750,True,Use fillers to prevent structural habituation.
T181,Filler_Neg,La chercheuse ne suit pas les radios.,True,suit,FILLER,singular,NA,NA,NA,NA,True,1500,True,Use fillers to prevent structural habituation.
T182,Filler_SVO,La journaliste aime le dossier.,True,aime,FILLER,singular,NA,NA,NA,NA,True,2000,True,Use fillers to prevent structural habituation.
T184,Filler_SVO,La chercheuse regarde le message.,True,regarde,FILLER,singular,NA,NA,NA,NA,True,1000,True,Use fillers to prevent structural habituation.
T185,Filler_Neg,Le voisin ne regarde pas les lampes.,True,regarde,FILLER,singular,NA,NA,NA,NA,True,1500,True,Use fillers to prevent structural habituation.
T192,Filler_Neg,Le médecin ne porte pas les messages.,True,porte,FILLER,singular,NA,NA,NA,NA,True,1000,True,Use fillers to prevent structural habituation.
